master_sampleid,runid,sampleid,temperature,salinity,date_collected
cenf,ERR598950,ERS487936,20.408907,,2009-09-15
cenf,ERR599095,ERS487936,20.408907,,2009-09-15
ceom,ERR598955,ERS487899,20.5251,,2009-09-15
ceom,ERR599003,ERS487899,20.5251,,2009-09-15
cenk,ERR594352,ERS488354,18.36839,37.89241,2009-11-02
cenr,ERR594358,ERS488340,21.4395,37.89245,2009-11-02
cenx,ERR599073,ERS488346,18.36839,,2009-11-02
cenx,ERR599092,ERS488346,18.36839,,2009-11-02
ceof,ERR598993,ERS488330,21.4395,,2009-11-02
ceof,ERR599140,ERS488330,21.4395,,2009-11-02
cens,ERR594378,ERS488448,17.041483,37.759666,2009-11-16
cens,ERR594406,ERS488448,17.041483,37.759666,2009-11-16
ceni,ERR594408,ERS478007,15.194062,38.47273,
cenn,ERR315858,ERS477979,17.321979,,2009-11-18
cenn,ERR315861,ERS477979,17.321979,,2009-11-18
cess,ERR315859,ERS477998,15.194062,,2009-11-18
cess,ERR315860,ERS477998,15.194062,,2009-11-18
cenl,ERR594375,ERS488518,15.161277,38.475704,2009-11-23
cenu,ERR598951,ERS488486,18.342533,,2009-11-23
cenu,ERR599043,ERS488486,18.342533,,2009-11-23
cenz,ERR599094,ERS488509,15.161277,,2009-11-23
cenz,ERR599153,ERS488509,15.161277,,2009-11-23
ceoe,ERR594396,ERS488499,18.342533,38.18292,2009-11-23
cenh,ERR594405,ERS478052,18.979534,39.25595,
cenp,ERR318618,ERS478040,18.979535,,2009-12-15
cenp,ERR318619,ERS478040,18.979535,,2009-12-15
cenp,ERR318620,ERS478040,18.979535,,2009-12-15
cenp,ERR318621,ERS478040,18.979535,,2009-12-15
ceok,ERR315862,ERS478017,20.460612,,2009-12-15
ceok,ERR315863,ERS478017,20.460612,,2009-12-15
cenq,ERR598969,ERS488545,25.0621,,2010-01-09
cenq,ERR599106,ERS488545,25.0621,,2010-01-09
cenv,ERR594401,ERS488558,25.0621,39.98187,2010-01-09
cenv,ERR594410,ERS488558,25.0621,39.98187,2010-01-09
cenm,ERR594360,ERS488613,26.050367,40.196434,2010-01-11
cenw,ERR599041,ERS488569,25.824383,,2010-01-11
cenw,ERR599116,ERS488569,25.824383,,2010-01-11
cenw,ERR599155,ERS488569,25.824383,,2010-01-11
ceny,ERR599061,ERS488599,26.050367,,2010-01-11
ceny,ERR599097,ERS488599,26.050367,,2010-01-11
ceoa,ERR594393,ERS488589,25.824383,39.74725,2010-01-11
ceno,ERR599049,ERS488621,27.329517,,2010-01-13
ceno,ERR599134,ERS488621,27.329517,,2010-01-13
ceog,ERR594368,ERS488673,27.59865,38.64686,2010-01-20
ceog,ERR594370,ERS488673,27.59865,38.64686,2010-01-20
ceoh,ERR594390,ERS488701,27.589916,38.916584,2010-01-20
ceoj,ERR598959,ERS488649,27.59865,,2010-01-20
ceoj,ERR598991,ERS488649,27.59865,,2010-01-20
ceoq,ERR598975,ERS488685,27.589917,,2010-01-20
ceoq,ERR599111,ERS488685,27.589917,,2010-01-20
ceoc,ERR598974,ERS488747,25.37395,,2010-03-12
ceoc,ERR599028,ERS488747,25.37395,,2010-03-12
ceod,ERR594369,ERS488737,25.581432,36.53006,2010-03-12
ceoi,ERR594402,ERS488757,25.37395,36.549267,2010-03-12
ceoo,ERR598966,ERS488714,25.581433,,2010-03-12
ceoo,ERR599143,ERS488714,25.581433,,2010-03-12
ceqe,ERR599031,ERS488769,12.066048,,2010-03-13
ceqe,ERR599062,ERS488769,12.066048,,2010-03-13
ceol,ERR594374,ERS488813,26.2314,36.617916,2010-03-15
ceol,ERR594400,ERS488813,26.2314,36.617916,2010-03-15
cepn,ERR594386,ERS488836,25.494408,99999.0,2010-03-15
cepn,ERR594399,ERS488836,25.494408,99999.0,2010-03-15
ceps,ERR599109,ERS488849,14.987618,,2010-03-16
ceps,ERR599167,ERS488849,14.987618,,2010-03-16
cepw,ERR598949,ERS488830,25.494408,,2010-03-15
cepw,ERR599082,ERS488830,25.494408,,2010-03-15
cewa,ERR599102,ERS488799,26.2314,,2010-03-15
cewa,ERR599158,ERS488799,26.2314,,2010-03-15
cepf,ERR594363,ERS488929,26.812225,36.332317,2010-03-18
cepf,ERR594397,ERS488929,26.812225,36.332317,2010-03-18
cepr,ERR594356,ERS488892,26.81765,36.285366,2010-03-18
cepr,ERR594365,ERS488892,26.81765,36.285366,2010-03-18
cept,ERR599145,ERS488916,26.812225,,2010-03-18
cepv,ERR599037,ERS488936,15.614195,,2010-03-20
cepv,ERR599172,ERS488936,15.614195,,2010-03-20
cepi,ERR594384,ERS489059,29.089367,36.024883,2010-03-30
cepu,ERR599011,ERS489043,29.089367,,2010-03-30
cepu,ERR599074,ERS489043,29.089367,,2010-03-30
ceqa,ERR594366,ERS489084,27.117662,36.496162,2010-03-30
ceqa,ERR594367,ERS489084,27.117662,36.496162,2010-03-30
ceqa,ERR594371,ERS489084,27.117662,36.496162,2010-03-30
ceqa,ERR594372,ERS489084,27.117662,36.496162,2010-03-30
ceqa,ERR594373,ERS489084,27.117662,36.496162,2010-03-30
cevz,ERR598977,ERS489074,27.117663,,2010-03-30
cevz,ERR599053,ERS489074,27.117663,,2010-03-30
cepe,ERR594413,ERS489148,27.723425,35.103504,2010-04-04
cepk,ERR599013,ERS489134,27.723425,,2010-04-04
cepk,ERR599130,ERS489134,27.723425,,2010-04-04
cepp,ERR594398,ERS489113,29.980284,34.56155,2010-04-04
cepp,ERR594403,ERS489113,29.980284,34.56155,2010-04-04
ceqd,ERR599075,ERS489087,29.980283,,2010-04-04
ceqd,ERR599141,ERS489087,29.980283,,2010-04-04
cepl,ERR599045,ERS489236,30.496383,,2010-04-13
cepl,ERR599054,ERS489236,30.496383,,2010-04-13
cepg,ERR594376,ERS489285,30.12565,35.111282,2010-04-15
cepj,ERR599019,ERS489315,29.818233,,2010-04-19
cepj,ERR599138,ERS489315,29.818233,,2010-04-19
cepa,ERR599098,ERS489529,27.8684,,2010-05-17
cepa,ERR599139,ERS489529,27.8684,,2010-05-17
ceqb,ERR594394,ERS489603,24.89426,34.910755,2010-05-17
cetw,ERR599002,ERS489585,24.89426,,2010-05-17
cetw,ERR599016,ERS489585,24.89426,,2010-05-17
