"master_sampleid","sampleid","temperature","salinity","date_collected"
"cenf","ERS487936",20.408907,NA,"2009-09-15"
"ceom","ERS487899",20.5251,NA,"2009-09-15"
"cenk","ERS488354",18.36839,37.89241,"2009-11-02"
"cenr","ERS488340",21.4395,37.89245,"2009-11-02"
"cenx","ERS488346",18.36839,NA,"2009-11-02"
"ceof","ERS488330",21.4395,NA,"2009-11-02"
"cens","ERS488448",17.041483,37.759666,"2009-11-16"
"ceni","ERS478007",15.194062,38.47273,""
"cenn","ERS477979",17.321979,NA,"2009-11-18"
"cess","ERS477998",15.194062,NA,"2009-11-18"
"cenl","ERS488518",15.161277,38.475704,"2009-11-23"
"cenu","ERS488486",18.342533,NA,"2009-11-23"
"cenz","ERS488509",15.161277,NA,"2009-11-23"
"ceoe","ERS488499",18.342533,38.18292,"2009-11-23"
"cenh","ERS478052",18.979534,39.25595,""
"cenp","ERS478040",18.979535,NA,"2009-12-15"
"ceok","ERS478017",20.460612,NA,"2009-12-15"
"cenq","ERS488545",25.0621,NA,"2010-01-09"
"cenv","ERS488558",25.0621,39.98187,"2010-01-09"
"cenm","ERS488613",26.050367,40.196434,"2010-01-11"
"cenw","ERS488569",25.824383,NA,"2010-01-11"
"ceny","ERS488599",26.050367,NA,"2010-01-11"
"ceoa","ERS488589",25.824383,39.74725,"2010-01-11"
"ceno","ERS488621",27.329517,NA,"2010-01-13"
"ceog","ERS488673",27.59865,38.64686,"2010-01-20"
"ceoh","ERS488701",27.589916,38.916584,"2010-01-20"
"ceoj","ERS488649",27.59865,NA,"2010-01-20"
"ceoq","ERS488685",27.589917,NA,"2010-01-20"
"ceoc","ERS488747",25.37395,NA,"2010-03-12"
"ceod","ERS488737",25.581432,36.53006,"2010-03-12"
"ceoi","ERS488757",25.37395,36.549267,"2010-03-12"
"ceoo","ERS488714",25.581433,NA,"2010-03-12"
"ceqe","ERS488769",12.066048,NA,"2010-03-13"
"ceol","ERS488813",26.2314,36.617916,"2010-03-15"
"cepn","ERS488836",25.494408,99999,"2010-03-15"
"ceps","ERS488849",14.987618,NA,"2010-03-16"
"cepw","ERS488830",25.494408,NA,"2010-03-15"
"cewa","ERS488799",26.2314,NA,"2010-03-15"
"cepf","ERS488929",26.812225,36.332317,"2010-03-18"
"cepr","ERS488892",26.81765,36.285366,"2010-03-18"
"cept","ERS488916",26.812225,NA,"2010-03-18"
"cepv","ERS488936",15.614195,NA,"2010-03-20"
"cepi","ERS489059",29.089367,36.024883,"2010-03-30"
"cepu","ERS489043",29.089367,NA,"2010-03-30"
"ceqa","ERS489084",27.117662,36.496162,"2010-03-30"
"cevz","ERS489074",27.117663,NA,"2010-03-30"
"cepe","ERS489148",27.723425,35.103504,"2010-04-04"
"cepk","ERS489134",27.723425,NA,"2010-04-04"
"cepp","ERS489113",29.980284,34.56155,"2010-04-04"
"ceqd","ERS489087",29.980283,NA,"2010-04-04"
"cepl","ERS489236",30.496383,NA,"2010-04-13"
"cepg","ERS489285",30.12565,35.111282,"2010-04-15"
"cepj","ERS489315",29.818233,NA,"2010-04-19"
"cepa","ERS489529",27.8684,NA,"2010-05-17"
"ceqb","ERS489603",24.89426,34.910755,"2010-05-17"
"cetw","ERS489585",24.89426,NA,"2010-05-17"
"ceos","ERS489727",6.2402,NA,"2010-06-26"
"ceoy","ERS489712",27.323117,NA,"2010-06-26"
"cepb","ERS489733",26.965433,NA,"2010-06-27"
"ceow","ERS489846",26.34018,NA,"2010-06-29"
"ceov","ERS489877",25.080167,NA,"2010-07-03"
"ceot","ERS490026",22.250309,35.335545,"2010-07-08"
"ceoz","ERS489917",22.165567,NA,"2010-07-07"
"cepc","ERS490002",22.250309,NA,"2010-07-08"
"cepd","ERS489987",7.6502,NA,"2010-07-07"
"cxwf","ERS489943",22.165567,35.334717,"2010-07-07"
"ceox","ERS490085",21.81495,NA,"2010-07-12"
"cerq","ERS490065",8.4127,NA,"2010-07-12"
"ceru","ERS490120",21.81495,99999,"2010-07-12"
"cery","ERS490053",21.81684,35.44666,"2010-07-12"
"cevy","ERS490029",21.81684,NA,"2010-07-12"
"cerj","ERS490180",15.01895,35.3315,"2010-07-15"
"cerk","ERS490163",15.01895,NA,"2010-07-15"
"cern","ERS490142",15.033492,35.32332,"2010-07-15"
"cerw","ERS490124",15.033492,NA,"2010-07-15"
"cerm","ERS490183",12.83445,NA,"2010-09-07"
"cerp","ERS490204",12.83445,34.84529,"2010-09-07"
"cera","ERS490320",16.78741,35.6878,"2010-09-14"
"cerg","ERS490296",16.787411,NA,"2010-09-14"
"cerl","ERS490230",7.026748,NA,"2010-09-13"
"cero","ERS490285",16.832058,35.68685,"2010-09-14"
"cewb","ERS490265",16.832058,NA,"2010-09-14"
"ceqr","ERS490346",19.776808,36.376225,"2010-09-21"
"ceqw","ERS490327",19.776808,NA,"2010-09-21"
"ceqz","ERS490388",4.216697,34.443882,"2010-09-21/2010-09-22"
"cere","ERS490373",4.216697,NA,"2010-09-22"
"ceqs","ERS490507",4.673875,NA,"2010-10-06"
"ceqt","ERS490433",25.02619,NA,"2010-10-05"
"ceqv","ERS490494",24.112673,36.603344,"2010-10-05"
"cerb","ERS490476",24.112672,NA,"2010-10-05"
"cerf","ERS490452",25.02619,36.42324,"2010-10-05"
"cerh","ERS490522",4.673875,34.472576,"2010-10-06"
"ceqc","ERS490557",23.349543,37.101368,"2010-10-16"
"ceqh","ERS490633",4.749588,NA,"2010-10-17"
"ceqj","ERS490542",23.349542,NA,"2010-10-16"
"ceqk","ERS490610",21.643284,36.72468,"2010-10-16"
"cequ","ERS490597",21.643283,NA,"2010-10-16"
"ceqo","ERS490691",19.30925,NA,"2010-11-04"
"cesa","ERS490659",19.854083,NA,"2010-11-04"
"cesg","ERS490714",5.8659,NA,"2010-11-05"
"cesk","ERS490676",19.854082,36.32425,"2010-11-04"
"cerz","ERS490953",6.975635,34.057594,"2010-12-06"
"cesi","ERS490928",6.975635,NA,"2010-12-06"
"cesu","ERS490885",7.321517,NA,"2010-12-06"
"cesj","ERS491001",1.84402,NA,"2011-01-03"
"cese","ERS491095",-0.78154,NA,"2011-01-06"
"cest","ERS491044",0.67108,NA,"2011-01-06"
"cewq","ERS491107",-0.78154,34.319477,"2011-01-06"
"cewr","ERS491110",0.45883,NA,"2011-01-07"
"cesf","ERS491421",18.014508,NA,"2011-03-12"
"ceso","ERS491463",16.40115,NA,"2011-03-12"
"cesh","ERS491492",21.131962,NA,"2011-03-18"
"cesw","ERS491525",23.799133,NA,"2011-03-24"
"cesd","ERS491740",20.171605,NA,"2011-04-03"
"cesn","ERS491699",25.14875,NA,"2011-04-03"
"cesy","ERS491767",8.113126,NA,"2011-04-04"
"cesp","ERS491804",23.788833,NA,"2011-04-09"
"cesq","ERS491874",20.649431,NA,"2011-04-15"
"cesr","ERS491913",13.014573,NA,"2011-04-16"
"cesv","ERS491836",25.2512,NA,"2011-04-15"
"cesl","ERS491980",9.195825,NA,"2011-04-22"
"cesm","ERS492012",19.566255,NA,"2011-04-22"
"cewg","ERS491938",24.943108,NA,"2011-04-21"
"cesx","ERS492198",26.532036,34.344807,"2011-05-12"
